Main panel,Unit of assessment
A,Clinical Medicine
A,"Public Health, Health Services and Primary Care"
A,"Allied Health Professions, Dentistry, Nursing and Pharmacy"
A,"Psychology, Psychiatry and Neuroscience"
A,Biological Sciences
A,"Agriculture, Veterinary and Food Science"
B,Earth Systems and Environmental Sciences
B,Chemistry
B,Physics
B,Mathematical Sciences
B,Computer Science and Informatics
B,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering"
B,"Electrical and Electronic Engineering, Metallurgy and Materials"
B,Civil and Construction Engineering
B,General Engineering
C,"Architecture, Built Environment and Planning"
C,"Geography, Environmental Studies and Archaeology"
C,Economics and Econometrics
C,Business and Management Studies
C,Law
C,Politics and International Studies
C,Social Work and Social Policy
C,Sociology
C,Anthropology and Development Studies
C,Education
C,"Sport and Exercise Sciences, Leisure and Tourism"
D,Area Studies
D,Modern Languages and Linguistics
D,English Language and Literature
D,History
D,Classics
D,Philosophy
D,Theology and Religious Studies
D,"Art and Design: History, Practice and Theory"
D,"Music, Drama, Dance and Performing Arts"
D,"Communication, Cultural and Media Studies, Library and Information Management "
